"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"ฮ้า ฮ่า ฮาฮ่าฮ่าฮาฮะฮะฮ่ะฮ่ะฮ่ะฮ่ะ!"
"[english]dota_chatwheel_message_nevermore_2"	"Fear my presence."
"dota_chatwheel_label_nevermore_2"	"จงหวาดเกรงการปรากฏกายของข้า"
"[english]dota_chatwheel_label_nevermore_2"	"Fear my presence."
"dota_chatwheel_message_nevermore_3"	"ข้าจะรับไว้เอง"
"[english]dota_chatwheel_message_nevermore_3"	"I'll take it."
"dota_chatwheel_label_nevermore_3"	"ข้าจะรับไว้เอง"
"[english]dota_chatwheel_label_nevermore_3"	"I'll take it."
"dota_chatwheel_message_nevermore_4"	"เจ้ามิอาจหลบซ่อนได้!"
"[english]dota_chatwheel_message_nevermore_4"	"You can never hide!"
"dota_chatwheel_label_nevermore_4"	"เจ้ามิอาจหลบซ่อนได้!"
"[english]dota_chatwheel_label_nevermore_4"	"You can never hide!"
"dota_chatwheel_message_nevermore_5"	"Ozh icha gluth izh sol. (ข้าจักกลืนกินดวงวิญญาณเจ้า)"
"[english]dota_chatwheel_message_nevermore_5"	"Ozh icha gluth izh sol."
"dota_chatwheel_label_nevermore_5"	"ข้าจักกลืนกินดวงวิญญาณเจ้า"
"[english]dota_chatwheel_label_nevermore_5"	"Ozh icha gluth izh sol."
"dota_chatwheel_message_phantom_lancer_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_phantom_lancer_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_phantom_lancer_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_phantom_lancer_laugh"	"Laugh"
"dota_chatwheel_message_phantom_lancer_thank"	"น่ามหัศจรรย์อะไรเยี่ยงนี้"
"[english]dota_chatwheel_message_phantom_lancer_thank"	"What an amazing thing."
"dota_chatwheel_label_phantom_lancer_thank"	"น่ามหัศจรรย์อะไรเยี่ยงนี้"
"[english]dota_chatwheel_label_phantom_lancer_thank"	"What an amazing thing."
"dota_chatwheel_message_phantom_lancer_deny"	"เพียงใช้สมาธิ"
"[english]dota_chatwheel_message_phantom_lancer_deny"	"Such simple minds."
"dota_chatwheel_label_phantom_lancer_deny"	"เพียงใช้สมาธิ"
"[english]dota_chatwheel_label_phantom_lancer_deny"	"Such simple minds."
"dota_chatwheel_message_phantom_lancer_1"	"พวกเรามาเพื่อท่าน!"
"[english]dota_chatwheel_message_phantom_lancer_1"	"We come for you!"
"dota_chatwheel_label_phantom_lancer_1"	"พวกเรามาเพื่อท่าน!"
"[english]dota_chatwheel_label_phantom_lancer_1"	"We come for you!"
"dota_chatwheel_message_phantom_lancer_2"	"นี่ก็งี่เงาสิ้นดี"
"[english]dota_chatwheel_message_phantom_lancer_2"	"Now this is just silly."
"dota_chatwheel_label_phantom_lancer_2"	"นี่ก็งี่เงาสิ้นดี"
"[english]dota_chatwheel_label_phantom_lancer_2"	"Now this is just silly."
"dota_chatwheel_message_phantom_lancer_3"	"พวกเราจะมีจำนวนเยอะกว่าเดิม"
"[english]dota_chatwheel_message_phantom_lancer_3"	"We have more where that came from."
"dota_chatwheel_label_phantom_lancer_3"	"พวกเราจะมีจำนวนเยอะกว่าเดิม"
"[english]dota_chatwheel_label_phantom_lancer_3"	"We have more where that came from."
"dota_chatwheel_message_phantom_lancer_4"	"จำนวนทำให้สำเร็จผล ลำพังกลยุทธ์มิอาจทำได้"
"[english]dota_chatwheel_message_phantom_lancer_4"	"Numbers have accomplished what strategy alone could not."
"dota_chatwheel_label_phantom_lancer_4"	"จำนวนทำให้สำเร็จผล..."
"[english]dota_chatwheel_label_phantom_lancer_4"	"Numbers have accomplished..."
"dota_chatwheel_message_phantom_lancer_5"	"พวกเรามีจำนวนเยอะกว่าท่าน เยอะกว่าพวกท่านทั้งหมด!"
"[english]dota_chatwheel_message_phantom_lancer_5"	"We outnumbered you. We outnumber them all!"
"dota_chatwheel_label_phantom_lancer_5"	"พวกเรามีจำนวนเยอะกว่าท่าน..."
"[english]dota_chatwheel_label_phantom_lancer_5"	"We outnumbered you..."
"dota_chatwheel_message_puck_laugh"	"ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_puck_laugh"	"Ha ha!"
"dota_chatwheel_label_puck_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_puck_laugh"	"Laugh"
"dota_chatwheel_message_puck_thank"	"น่าสนใจดีนะ"
"[english]dota_chatwheel_message_puck_thank"	"Interesting."
"dota_chatwheel_label_puck_thank"	"น่าสนใจดีนะ"
"[english]dota_chatwheel_label_puck_thank"	"Interesting."
"dota_chatwheel_message_puck_deny"	"คุณคงคิดอยากย้อนกลับไปแก้ไขเมื่อกี้ใช่ไหมล่ะ"
"[english]dota_chatwheel_message_puck_deny"	"You might wish to retract your last move."
"dota_chatwheel_label_puck_deny"	"คุณคงคิดอยากย้อนกลับ..."
"[english]dota_chatwheel_label_puck_deny"	"You might wish to retract..."
"dota_chatwheel_message_puck_1"	"สวัสดีจ้า!"
"[english]dota_chatwheel_message_puck_1"	"Greetings!"
"dota_chatwheel_label_puck_1"	"สวัสดีจ้า!"
"[english]dota_chatwheel_label_puck_1"	"Greetings!"
"dota_chatwheel_message_puck_2"	"นี่มันอะไร เกมชนิดนึงเหรอ?"
"[english]dota_chatwheel_message_puck_2"	"What is this, a game of some sort?"
"dota_chatwheel_label_puck_2"	"นี่มันอะไร เกมชนิดนึงเหรอ?"
"[english]dota_chatwheel_label_puck_2"	"What is this, a game of some sort?"
"dota_chatwheel_message_puck_3"	"โศกนาฏกรรมอันยิ่งใหญ่ในยุคเรา"
"[english]dota_chatwheel_message_puck_3"	"The greatest tragedy of our eon."
"dota_chatwheel_label_puck_3"	"โศกนาฏกรรมอันยิ่งใหญ่ในยุคเรา"
"[english]dota_chatwheel_label_puck_3"	"The greatest tragedy of our eon."
"dota_chatwheel_message_puck_4"	"เมื่อกี้ฉลาดหรือเปล่า?"
"[english]dota_chatwheel_message_puck_4"	"Was that smart?"
"dota_chatwheel_label_puck_4"	"เมื่อกี้ฉลาดหรือเปล่า?"
"[english]dota_chatwheel_label_puck_4"	"Was that smart?"
"dota_chatwheel_message_puck_5"	"ความรู้สึกนี้มันไม่คุ้นเลย ใช่ดีใจรึเปล่าอะ?"
"[english]dota_chatwheel_message_puck_5"	"I am unfamiliar with this feeling. Is it joy?"
"dota_chatwheel_label_puck_5"	"ความรู้สึกนี้มันไม่คุ้นเลย..."
"[english]dota_chatwheel_label_puck_5"	"I am unfamiliar with this feeling..."
"dota_chatwheel_message_pudge_laugh"	"ฮื้ม ฮื้ม ฮื้ม ฮื้ม ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_pudge_laugh"	"Hm hm hm hm ha ha ha."
"dota_chatwheel_label_pudge_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_pudge_laugh"	"Laugh"
"dota_chatwheel_message_pudge_thank"	"ก็น่าพอใจนิดหน่อย"
"[english]dota_chatwheel_message_pudge_thank"	"That's a bit of all right."
"dota_chatwheel_label_pudge_thank"	"ก็น่าพอใจนิดหน่อย"
"[english]dota_chatwheel_label_pudge_thank"	"That's a bit of all right."
"dota_chatwheel_message_pudge_deny"	"โอ๊ะ ฝีมือข้าเองเรอะ?"
"[english]dota_chatwheel_message_pudge_deny"	"Oops. Was that me?"
"dota_chatwheel_label_pudge_deny"	"โอ๊ะ ฝีมือข้าเองเรอะ?"
"[english]dota_chatwheel_label_pudge_deny"	"Oops. Was that me?"
"dota_chatwheel_message_pudge_1"	"ได้เวลาชำแหละเนื้อสักหน่อย!"
"[english]dota_chatwheel_message_pudge_1"	"Time for a little butchery!"
"dota_chatwheel_label_pudge_1"	"ได้เวลาชำแหละเนื้อสักหน่อย!"
"[english]dota_chatwheel_label_pudge_1"	"Time for a little butchery!"
"dota_chatwheel_message_pudge_2"	"ไม่มีอะไรดีไปกว่าตับสดใหม่"
"[english]dota_chatwheel_message_pudge_2"	"Nothing better than a nice raw liver."
"dota_chatwheel_label_pudge_2"	"ไม่มีอะไรดีไปกว่าตับสดใหม่"
"[english]dota_chatwheel_label_pudge_2"	"Nothing better than a nice raw liver."
"dota_chatwheel_message_pudge_3"	"ไงก็ได้"
"[english]dota_chatwheel_message_pudge_3"	"Whateva."
"dota_chatwheel_label_pudge_3"	"ไงก็ได้"
"[english]dota_chatwheel_label_pudge_3"	"Whateva."
"dota_chatwheel_message_pudge_4"	"อร่อยถูกปาก..."
"[english]dota_chatwheel_message_pudge_4"	"Delicious..."
"dota_chatwheel_label_pudge_4"	"อร่อยถูกปาก..."
"[english]dota_chatwheel_label_pudge_4"	"Delicious..."
"dota_chatwheel_message_pudge_5"	"เอาไปเสียบเหล็กย่างอีกสักหน่อย แกคงดูดีขึ้น!"
"[english]dota_chatwheel_message_pudge_5"	"You'll look good with an apple in yer mouth!"
"dota_chatwheel_label_pudge_5"	"เอาไปเสียบเหล็กย่าง..."
"[english]dota_chatwheel_label_pudge_5"	"You'll look good with..."
"dota_chatwheel_message_razor_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า"
"[english]dota_chatwheel_message_razor_laugh"	"Ah ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_razor_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_razor_laugh"	"Laugh"
"dota_chatwheel_message_razor_thank"	"ข้าสัมผัสถึงความสัมพันธ์ระหว่างเรา!"
"[english]dota_chatwheel_message_razor_thank"	"I sense a connection between us!"
"dota_chatwheel_label_razor_thank"	"ข้าสัมผัสถึงความสัมพันธ์ระหว่างเรา!"
"[english]dota_chatwheel_label_razor_thank"	"I sense a connection between us!"
"dota_chatwheel_message_razor_deny"	"จะหนีไปก็ได้ แต่แกหนีไปก็จะดีกว่า"
"[english]dota_chatwheel_message_razor_deny"	"You can run. You should run."
"dota_chatwheel_label_razor_deny"	"จะหนีไปก็ได้ แต่แกหนีไปก็จะดีกว่า"
"[english]dota_chatwheel_label_razor_deny"	"You can run. You should run."
"dota_chatwheel_message_razor_1"	"แกตายแล้ว ตายน่ะ"
"[english]dota_chatwheel_message_razor_1"	"You are dead. Dead."
"dota_chatwheel_label_razor_1"	"แกตายแล้ว ตายน่ะ"
"[english]dota_chatwheel_label_razor_1"	"You are dead. Dead."
"dota_chatwheel_message_razor_2"	"เถ้าธุลีแกจะตกลงดั่งสายฝน"
"[english]dota_chatwheel_message_razor_2"	"Your ashes will fall like rain."
"dota_chatwheel_label_razor_2"	"เถ้าธุลีแกจะตกลงดั่งสายฝน"
"[english]dota_chatwheel_label_razor_2"	"Your ashes will fall like rain."
"dota_chatwheel_message_razor_3"	"ช็อกละสิ"
"[english]dota_chatwheel_message_razor_3"	"Shocking."
"dota_chatwheel_label_razor_3"	"ช็อกละสิ"
"[english]dota_chatwheel_label_razor_3"	"Shocking."
"dota_chatwheel_message_razor_4"	"นี่จะทำให้เจ็บปวดไปชั่วนิจนิรันดร์"
"[english]dota_chatwheel_message_razor_4"	"This will only hurt forever."
"dota_chatwheel_label_razor_4"	"นี่จะทำให้เจ็บปวดไปชั่วนิจนิรันดร์"
"[english]dota_chatwheel_label_razor_4"	"This will only hurt forever."
"dota_chatwheel_message_razor_5"	"แกแสบก้นไหมล่ะ!"
"[english]dota_chatwheel_message_razor_5"	"Zapped your ass!"
"dota_chatwheel_label_razor_5"	"แกแสบก้นไหมล่ะ!"
"[english]dota_chatwheel_label_razor_5"	"Zapped your ass!"
"dota_chatwheel_message_sand_king_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_sand_king_laugh"	"Ha ha ha ha ha ha ha!"
"dota_chatwheel_label_sand_king_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_sand_king_laugh"	"Laugh"
"dota_chatwheel_message_sand_king_thank"	"เจ้าได้สร้างผลงานอันยอดเยี่ยมแล้ว"
"[english]dota_chatwheel_message_sand_king_thank"	"You have done a great service."
"dota_chatwheel_label_sand_king_thank"	"เจ้าได้สร้างผลงานอันยอดเยี่ยมแล้ว"
"[english]dota_chatwheel_label_sand_king_thank"	"You have done a great service."
"dota_chatwheel_message_sand_king_deny"	"เจ็บแสบ ใช่ไหมละ?"
"[english]dota_chatwheel_message_sand_king_deny"	"Stings, don't it?"
"dota_chatwheel_label_sand_king_deny"	"เจ็บแสบ ใช่ไหมละ?"
"[english]dota_chatwheel_label_sand_king_deny"	"Stings, don't it?"
"dota_chatwheel_message_sand_king_1"	"โค้งคำนับแก่นายของเจ้าซะ"
"[english]dota_chatwheel_message_sand_king_1"	"Bow to your liege."
"dota_chatwheel_label_sand_king_1"	"โค้งคำนับแก่นายของเจ้าซะ"
"[english]dota_chatwheel_label_sand_king_1"	"Bow to your liege."
"dota_chatwheel_message_sand_king_2"	"ชัยช-ช-ชนะแห่งผืนทราย!"
"[english]dota_chatwheel_message_sand_king_2"	"A Sandy V-V-Victory!"
"dota_chatwheel_label_sand_king_2"	"ชัยช-ช-ชนะแห่งผืนทราย!"
"[english]dota_chatwheel_label_sand_king_2"	"A Sandy V-V-Victory!"
"dota_chatwheel_message_sand_king_3"	"เจ้าคิดว่าเจ้ากำลังจะไปไหนน่ะ?"
"[english]dota_chatwheel_message_sand_king_3"	"Where do you think you're going?"
"dota_chatwheel_label_sand_king_3"	"เจ้าคิดว่าเจ้ากำลังจะไปไหนน่ะ?"
"[english]dota_chatwheel_label_sand_king_3"	"Where do you think you're going?"
"dota_chatwheel_message_sand_king_4"	"เจ้านึกว่าจะได้...ฝันดีเห็นมนุษย์ทรายงั้นรึ?"
"[english]dota_chatwheel_message_sand_king_4"	"You were expecting...Sandy Claws?"
"dota_chatwheel_label_sand_king_4"	"เจ้านึกว่าจะได้ฝันดีเห็นมนุษย์ทรายงั้นรึ?"
"[english]dota_chatwheel_label_sand_king_4"	"You were expecting Sandy Claws?"
"dota_chatwheel_message_sand_king_5"	"ดีที่ข้าได้เป็นถึงกษัตริย์!"
"[english]dota_chatwheel_message_sand_king_5"	"It's good to be King!"
"dota_chatwheel_label_sand_king_5"	"ดีที่ข้าได้เป็นถึงกษัตริย์"
"[english]dota_chatwheel_label_sand_king_5"	"It's good to be King"
"dota_chatwheel_message_storm_spirit_laugh"	"ฮื้ม ฮื้ม ฮื้ม ฮื้ม ฮื่อ ฮื่อ ฮื่อ ฮ่า ฮ่า"
